"slug","category","city","campaignUrl"
"catering-eventi-trentino-alto-adige","Catering e Gastronomia","Trentino-Alto Adige","https://www.vibesplanner.com/richiesta-cliente/?utm_source=organizzaevento&utm_medium=seo&utm_campaign=catering-eventi_trentino-alto-adige&utm_content=cta_landing#gbc165"
"musica-eventi-trentino-alto-adige","Musica","Trentino-Alto Adige","https://www.vibesplanner.com/richiesta-cliente/?utm_source=organizzaevento&utm_medium=seo&utm_campaign=musica-eventi_trentino-alto-adige&utm_content=cta_landing#gbc165"
"intrattenimento-eventi-trentino-alto-adige","Intrattenimento","Trentino-Alto Adige","https://www.vibesplanner.com/richiesta-cliente/?utm_source=organizzaevento&utm_medium=seo&utm_campaign=intrattenimento-eventi_trentino-alto-adige&utm_content=cta_landing#gbc165"
"fotografi-videomaker-eventi-trentino-alto-adige","Fotografi e Videomaker","Trentino-Alto Adige","https://www.vibesplanner.com/richiesta-cliente/?utm_source=organizzaevento&utm_medium=seo&utm_campaign=fotografi-videomaker-eventi_trentino-alto-adige&utm_content=cta_landing#gbc165"
"event-planner-trentino-alto-adige","Event Planner","Trentino-Alto Adige","https://www.vibesplanner.com/richiesta-cliente/?utm_source=organizzaevento&utm_medium=seo&utm_campaign=event-planner_trentino-alto-adige&utm_content=cta_landing#gbc165"
"fioristi-matrimonio-eventi-trentino-alto-adige","Fioristi e Allestimenti","Trentino-Alto Adige","https://www.vibesplanner.com/richiesta-cliente/?utm_source=organizzaevento&utm_medium=seo&utm_campaign=fioristi-allestimenti_trentino-alto-adige&utm_content=cta_landing#gbc165"
"service-audio-luci-eventi-trentino-alto-adige","Tecnici e Allestitori","Trentino-Alto Adige","https://www.vibesplanner.com/richiesta-cliente/?utm_source=organizzaevento&utm_medium=seo&utm_campaign=service-audio-luci_trentino-alto-adige&utm_content=cta_landing#gbc165"
"trasporti-eventi-trentino-alto-adige","Trasporti","Trentino-Alto Adige","https://www.vibesplanner.com/richiesta-cliente/?utm_source=organizzaevento&utm_medium=seo&utm_campaign=trasporti-eventi_trentino-alto-adige&utm_content=cta_landing#gbc165"
"location-eventi-veneto","Location","Veneto","https://www.vibesplanner.com/richiesta-cliente/?utm_source=organizzaevento&utm_medium=seo&utm_campaign=location-eventi_veneto&utm_content=cta_landing#gbc165"
"catering-eventi-veneto","Catering e Gastronomia","Veneto","https://www.vibesplanner.com/richiesta-cliente/?utm_source=organizzaevento&utm_medium=seo&utm_campaign=catering-eventi_veneto&utm_content=cta_landing#gbc165"
"musica-eventi-veneto","Musica","Veneto","https://www.vibesplanner.com/richiesta-cliente/?utm_source=organizzaevento&utm_medium=seo&utm_campaign=musica-eventi_veneto&utm_content=cta_landing#gbc165"
"intrattenimento-eventi-veneto","Intrattenimento","Veneto","https://www.vibesplanner.com/richiesta-cliente/?utm_source=organizzaevento&utm_medium=seo&utm_campaign=intrattenimento-eventi_veneto&utm_content=cta_landing#gbc165"
"fotografi-videomaker-eventi-veneto","Fotografi e Videomaker","Veneto","https://www.vibesplanner.com/richiesta-cliente/?utm_source=organizzaevento&utm_medium=seo&utm_campaign=fotografi-videomaker-eventi_veneto&utm_content=cta_landing#gbc165"
"event-planner-veneto","Event Planner","Veneto","https://www.vibesplanner.com/richiesta-cliente/?utm_source=organizzaevento&utm_medium=seo&utm_campaign=event-planner_veneto&utm_content=cta_landing#gbc165"
"fioristi-matrimonio-eventi-veneto","Fioristi e Allestimenti","Veneto","https://www.vibesplanner.com/richiesta-cliente/?utm_source=organizzaevento&utm_medium=seo&utm_campaign=fioristi-allestimenti_veneto&utm_content=cta_landing#gbc165"
"service-audio-luci-eventi-veneto","Tecnici e Allestitori","Veneto","https://www.vibesplanner.com/richiesta-cliente/?utm_source=organizzaevento&utm_medium=seo&utm_campaign=service-audio-luci_veneto&utm_content=cta_landing#gbc165"
"trasporti-eventi-veneto","Trasporti","Veneto","https://www.vibesplanner.com/richiesta-cliente/?utm_source=organizzaevento&utm_medium=seo&utm_campaign=trasporti-eventi_veneto&utm_content=cta_landing#gbc165"
"location-eventi-friuli-venezia-giulia","Location","Friuli-Venezia Giulia","https://www.vibesplanner.com/richiesta-cliente/?utm_source=organizzaevento&utm_medium=seo&utm_campaign=location-eventi_friuli-venezia-giulia&utm_content=cta_landing#gbc165"
"catering-eventi-friuli-venezia-giulia","Catering e Gastronomia","Friuli-Venezia Giulia","https://www.vibesplanner.com/richiesta-cliente/?utm_source=organizzaevento&utm_medium=seo&utm_campaign=catering-eventi_friuli-venezia-giulia&utm_content=cta_landing#gbc165"
"musica-eventi-friuli-venezia-giulia","Musica","Friuli-Venezia Giulia","https://www.vibesplanner.com/richiesta-cliente/?utm_source=organizzaevento&utm_medium=seo&utm_campaign=musica-eventi_friuli-venezia-giulia&utm_content=cta_landing#gbc165"
"intrattenimento-eventi-friuli-venezia-giulia","Intrattenimento","Friuli-Venezia Giulia","https://www.vibesplanner.com/richiesta-cliente/?utm_source=organizzaevento&utm_medium=seo&utm_campaign=intrattenimento-eventi_friuli-venezia-giulia&utm_content=cta_landing#gbc165"
"fotografi-videomaker-eventi-friuli-venezia-giulia","Fotografi e Videomaker","Friuli-Venezia Giulia","https://www.vibesplanner.com/richiesta-cliente/?utm_source=organizzaevento&utm_medium=seo&utm_campaign=fotografi-videomaker-eventi_friuli-venezia-giulia&utm_content=cta_landing#gbc165"
"event-planner-friuli-venezia-giulia","Event Planner","Friuli-Venezia Giulia","https://www.vibesplanner.com/richiesta-cliente/?utm_source=organizzaevento&utm_medium=seo&utm_campaign=event-planner_friuli-venezia-giulia&utm_content=cta_landing#gbc165"
"fioristi-matrimonio-eventi-friuli-venezia-giulia","Fioristi e Allestimenti","Friuli-Venezia Giulia","https://www.vibesplanner.com/richiesta-cliente/?utm_source=organizzaevento&utm_medium=seo&utm_campaign=fioristi-allestimenti_friuli-venezia-giulia&utm_content=cta_landing#gbc165"
"service-audio-luci-eventi-friuli-venezia-giulia","Tecnici e Allestitori","Friuli-Venezia Giulia","https://www.vibesplanner.com/richiesta-cliente/?utm_source=organizzaevento&utm_medium=seo&utm_campaign=service-audio-luci_friuli-venezia-giulia&utm_content=cta_landing#gbc165"
"trasporti-eventi-friuli-venezia-giulia","Trasporti","Friuli-Venezia Giulia","https://www.vibesplanner.com/richiesta-cliente/?utm_source=organizzaevento&utm_medium=seo&utm_campaign=trasporti-eventi_friuli-venezia-giulia&utm_content=cta_landing#gbc165"
"location-eventi-emilia-romagna","Location","Emilia-Romagna","https://www.vibesplanner.com/richiesta-cliente/?utm_source=organizzaevento&utm_medium=seo&utm_campaign=location-eventi_emilia-romagna&utm_content=cta_landing#gbc165"
"catering-eventi-emilia-romagna","Catering e Gastronomia","Emilia-Romagna","https://www.vibesplanner.com/richiesta-cliente/?utm_source=organizzaevento&utm_medium=seo&utm_campaign=catering-eventi_emilia-romagna&utm_content=cta_landing#gbc165"
"musica-eventi-emilia-romagna","Musica","Emilia-Romagna","https://www.vibesplanner.com/richiesta-cliente/?utm_source=organizzaevento&utm_medium=seo&utm_campaign=musica-eventi_emilia-romagna&utm_content=cta_landing#gbc165"
"intrattenimento-eventi-emilia-romagna","Intrattenimento","Emilia-Romagna","https://www.vibesplanner.com/richiesta-cliente/?utm_source=organizzaevento&utm_medium=seo&utm_campaign=intrattenimento-eventi_emilia-romagna&utm_content=cta_landing#gbc165"
"fotografi-videomaker-eventi-emilia-romagna","Fotografi e Videomaker","Emilia-Romagna","https://www.vibesplanner.com/richiesta-cliente/?utm_source=organizzaevento&utm_medium=seo&utm_campaign=fotografi-videomaker-eventi_emilia-romagna&utm_content=cta_landing#gbc165"
"event-planner-emilia-romagna","Event Planner","Emilia-Romagna","https://www.vibesplanner.com/richiesta-cliente/?utm_source=organizzaevento&utm_medium=seo&utm_campaign=event-planner_emilia-romagna&utm_content=cta_landing#gbc165"
"fioristi-matrimonio-eventi-emilia-romagna","Fioristi e Allestimenti","Emilia-Romagna","https://www.vibesplanner.com/richiesta-cliente/?utm_source=organizzaevento&utm_medium=seo&utm_campaign=fioristi-allestimenti_emilia-romagna&utm_content=cta_landing#gbc165"
"service-audio-luci-eventi-emilia-romagna","Tecnici e Allestitori","Emilia-Romagna","https://www.vibesplanner.com/richiesta-cliente/?utm_source=organizzaevento&utm_medium=seo&utm_campaign=service-audio-luci_emilia-romagna&utm_content=cta_landing#gbc165"
"trasporti-eventi-emilia-romagna","Trasporti","Emilia-Romagna","https://www.vibesplanner.com/richiesta-cliente/?utm_source=organizzaevento&utm_medium=seo&utm_campaign=trasporti-eventi_emilia-romagna&utm_content=cta_landing#gbc165"
"location-eventi-marche","Location","Marche","https://www.vibesplanner.com/richiesta-cliente/?utm_source=organizzaevento&utm_medium=seo&utm_campaign=location-eventi_marche&utm_content=cta_landing#gbc165"
"catering-eventi-marche","Catering e Gastronomia","Marche","https://www.vibesplanner.com/richiesta-cliente/?utm_source=organizzaevento&utm_medium=seo&utm_campaign=catering-eventi_marche&utm_content=cta_landing#gbc165"
"musica-eventi-marche","Musica","Marche","https://www.vibesplanner.com/richiesta-cliente/?utm_source=organizzaevento&utm_medium=seo&utm_campaign=musica-eventi_marche&utm_content=cta_landing#gbc165"
"intrattenimento-eventi-marche","Intrattenimento","Marche","https://www.vibesplanner.com/richiesta-cliente/?utm_source=organizzaevento&utm_medium=seo&utm_campaign=intrattenimento-eventi_marche&utm_content=cta_landing#gbc165"
"fotografi-videomaker-eventi-marche","Fotografi e Videomaker","Marche","https://www.vibesplanner.com/richiesta-cliente/?utm_source=organizzaevento&utm_medium=seo&utm_campaign=fotografi-videomaker-eventi_marche&utm_content=cta_landing#gbc165"
"event-planner-marche","Event Planner","Marche","https://www.vibesplanner.com/richiesta-cliente/?utm_source=organizzaevento&utm_medium=seo&utm_campaign=event-planner_marche&utm_content=cta_landing#gbc165"
"fioristi-matrimonio-eventi-marche","Fioristi e Allestimenti","Marche","https://www.vibesplanner.com/richiesta-cliente/?utm_source=organizzaevento&utm_medium=seo&utm_campaign=fioristi-allestimenti_marche&utm_content=cta_landing#gbc165"
"service-audio-luci-eventi-marche","Tecnici e Allestitori","Marche","https://www.vibesplanner.com/richiesta-cliente/?utm_source=organizzaevento&utm_medium=seo&utm_campaign=service-audio-luci_marche&utm_content=cta_landing#gbc165"
"trasporti-eventi-marche","Trasporti","Marche","https://www.vibesplanner.com/richiesta-cliente/?utm_source=organizzaevento&utm_medium=seo&utm_campaign=trasporti-eventi_marche&utm_content=cta_landing#gbc165"
"location-eventi-provincia-torino","Location","provincia di Torino","https://www.vibesplanner.com/richiesta-cliente/?utm_source=organizzaevento&utm_medium=seo&utm_campaign=location-eventi_torino&utm_content=cta_landing#gbc165"
"catering-eventi-provincia-torino","Catering e Gastronomia","provincia di Torino","https://www.vibesplanner.com/richiesta-cliente/?utm_source=organizzaevento&utm_medium=seo&utm_campaign=catering-eventi_torino&utm_content=cta_landing#gbc165"
"musica-eventi-provincia-torino","Musica","provincia di Torino","https://www.vibesplanner.com/richiesta-cliente/?utm_source=organizzaevento&utm_medium=seo&utm_campaign=musica-eventi_torino&utm_content=cta_landing#gbc165"
"intrattenimento-eventi-provincia-torino","Intrattenimento","provincia di Torino","https://www.vibesplanner.com/richiesta-cliente/?utm_source=organizzaevento&utm_medium=seo&utm_campaign=intrattenimento-eventi_torino&utm_content=cta_landing#gbc165"
"fotografi-videomaker-eventi-provincia-torino","Fotografi e Videomaker","provincia di Torino","https://www.vibesplanner.com/richiesta-cliente/?utm_source=organizzaevento&utm_medium=seo&utm_campaign=fotografi-videomaker-eventi_torino&utm_content=cta_landing#gbc165"
"event-planner-provincia-torino","Event Planner","provincia di Torino","https://www.vibesplanner.com/richiesta-cliente/?utm_source=organizzaevento&utm_medium=seo&utm_campaign=event-planner_torino&utm_content=cta_landing#gbc165"
"fioristi-matrimonio-eventi-provincia-torino","Fioristi e Allestimenti","provincia di Torino","https://www.vibesplanner.com/richiesta-cliente/?utm_source=organizzaevento&utm_medium=seo&utm_campaign=fioristi-allestimenti_torino&utm_content=cta_landing#gbc165"
"service-audio-luci-eventi-provincia-torino","Tecnici e Allestitori","provincia di Torino","https://www.vibesplanner.com/richiesta-cliente/?utm_source=organizzaevento&utm_medium=seo&utm_campaign=service-audio-luci_torino&utm_content=cta_landing#gbc165"
"trasporti-eventi-provincia-torino","Trasporti","provincia di Torino","https://www.vibesplanner.com/richiesta-cliente/?utm_source=organizzaevento&utm_medium=seo&utm_campaign=trasporti-eventi_torino&utm_content=cta_landing#gbc165"
"location-eventi-provincia-genova","Location","provincia di Genova","https://www.vibesplanner.com/richiesta-cliente/?utm_source=organizzaevento&utm_medium=seo&utm_campaign=location-eventi_genova&utm_content=cta_landing#gbc165"
"catering-eventi-provincia-genova","Catering e Gastronomia","provincia di Genova","https://www.vibesplanner.com/richiesta-cliente/?utm_source=organizzaevento&utm_medium=seo&utm_campaign=catering-eventi_genova&utm_content=cta_landing#gbc165"
"musica-eventi-provincia-genova","Musica","provincia di Genova","https://www.vibesplanner.com/richiesta-cliente/?utm_source=organizzaevento&utm_medium=seo&utm_campaign=musica-eventi_genova&utm_content=cta_landing#gbc165"
"intrattenimento-eventi-provincia-genova","Intrattenimento","provincia di Genova","https://www.vibesplanner.com/richiesta-cliente/?utm_source=organizzaevento&utm_medium=seo&utm_campaign=intrattenimento-eventi_genova&utm_content=cta_landing#gbc165"
"fotografi-videomaker-eventi-provincia-genova","Fotografi e Videomaker","provincia di Genova","https://www.vibesplanner.com/richiesta-cliente/?utm_source=organizzaevento&utm_medium=seo&utm_campaign=fotografi-videomaker-eventi_genova&utm_content=cta_landing#gbc165"
"event-planner-provincia-genova","Event Planner","provincia di Genova","https://www.vibesplanner.com/richiesta-cliente/?utm_source=organizzaevento&utm_medium=seo&utm_campaign=event-planner_genova&utm_content=cta_landing#gbc165"
"fioristi-matrimonio-eventi-provincia-genova","Fioristi e Allestimenti","provincia di Genova","https://www.vibesplanner.com/richiesta-cliente/?utm_source=organizzaevento&utm_medium=seo&utm_campaign=fioristi-allestimenti_genova&utm_content=cta_landing#gbc165"
"service-audio-luci-eventi-provincia-genova","Tecnici e Allestitori","provincia di Genova","https://www.vibesplanner.com/richiesta-cliente/?utm_source=organizzaevento&utm_medium=seo&utm_campaign=service-audio-luci_genova&utm_content=cta_landing#gbc165"
"trasporti-eventi-provincia-genova","Trasporti","provincia di Genova","https://www.vibesplanner.com/richiesta-cliente/?utm_source=organizzaevento&utm_medium=seo&utm_campaign=trasporti-eventi_genova&utm_content=cta_landing#gbc165"
"location-eventi-provincia-imperia","Location","provincia di Imperia","https://www.vibesplanner.com/richiesta-cliente/?utm_source=organizzaevento&utm_medium=seo&utm_campaign=location-eventi_imperia&utm_content=cta_landing#gbc165"
"catering-eventi-provincia-imperia","Catering e Gastronomia","provincia di Imperia","https://www.vibesplanner.com/richiesta-cliente/?utm_source=organizzaevento&utm_medium=seo&utm_campaign=catering-eventi_imperia&utm_content=cta_landing#gbc165"
"musica-eventi-provincia-imperia","Musica","provincia di Imperia","https://www.vibesplanner.com/richiesta-cliente/?utm_source=organizzaevento&utm_medium=seo&utm_campaign=musica-eventi_imperia&utm_content=cta_landing#gbc165"
"intrattenimento-eventi-provincia-imperia","Intrattenimento","provincia di Imperia","https://www.vibesplanner.com/richiesta-cliente/?utm_source=organizzaevento&utm_medium=seo&utm_campaign=intrattenimento-eventi_imperia&utm_content=cta_landing#gbc165"
"fotografi-videomaker-eventi-provincia-imperia","Fotografi e Videomaker","provincia di Imperia","https://www.vibesplanner.com/richiesta-cliente/?utm_source=organizzaevento&utm_medium=seo&utm_campaign=fotografi-videomaker-eventi_imperia&utm_content=cta_landing#gbc165"
"event-planner-provincia-imperia","Event Planner","provincia di Imperia","https://www.vibesplanner.com/richiesta-cliente/?utm_source=organizzaevento&utm_medium=seo&utm_campaign=event-planner_imperia&utm_content=cta_landing#gbc165"
"fioristi-matrimonio-eventi-provincia-imperia","Fioristi e Allestimenti","provincia di Imperia","https://www.vibesplanner.com/richiesta-cliente/?utm_source=organizzaevento&utm_medium=seo&utm_campaign=fioristi-allestimenti_imperia&utm_content=cta_landing#gbc165"
"service-audio-luci-eventi-provincia-imperia","Tecnici e Allestitori","provincia di Imperia","https://www.vibesplanner.com/richiesta-cliente/?utm_source=organizzaevento&utm_medium=seo&utm_campaign=service-audio-luci_imperia&utm_content=cta_landing#gbc165"
"trasporti-eventi-provincia-imperia","Trasporti","provincia di Imperia","https://www.vibesplanner.com/richiesta-cliente/?utm_source=organizzaevento&utm_medium=seo&utm_campaign=trasporti-eventi_imperia&utm_content=cta_landing#gbc165"
"location-eventi-provincia-milano","Location","provincia di Milano","https://www.vibesplanner.com/richiesta-cliente/?utm_source=organizzaevento&utm_medium=seo&utm_campaign=location-eventi_milano&utm_content=cta_landing#gbc165"
"catering-eventi-provincia-milano","Catering e Gastronomia","provincia di Milano","https://www.vibesplanner.com/richiesta-cliente/?utm_source=organizzaevento&utm_medium=seo&utm_campaign=catering-eventi_milano&utm_content=cta_landing#gbc165"
"musica-eventi-provincia-milano","Musica","provincia di Milano","https://www.vibesplanner.com/richiesta-cliente/?utm_source=organizzaevento&utm_medium=seo&utm_campaign=musica-eventi_milano&utm_content=cta_landing#gbc165"
"intrattenimento-eventi-provincia-milano","Intrattenimento","provincia di Milano","https://www.vibesplanner.com/richiesta-cliente/?utm_source=organizzaevento&utm_medium=seo&utm_campaign=intrattenimento-eventi_milano&utm_content=cta_landing#gbc165"
"fotografi-videomaker-eventi-provincia-milano","Fotografi e Videomaker","provincia di Milano","https://www.vibesplanner.com/richiesta-cliente/?utm_source=organizzaevento&utm_medium=seo&utm_campaign=fotografi-videomaker-eventi_milano&utm_content=cta_landing#gbc165"
"event-planner-provincia-milano","Event Planner","provincia di Milano","https://www.vibesplanner.com/richiesta-cliente/?utm_source=organizzaevento&utm_medium=seo&utm_campaign=event-planner_milano&utm_content=cta_landing#gbc165"
"fioristi-matrimonio-eventi-provincia-milano","Fioristi e Allestimenti","provincia di Milano","https://www.vibesplanner.com/richiesta-cliente/?utm_source=organizzaevento&utm_medium=seo&utm_campaign=fioristi-allestimenti_milano&utm_content=cta_landing#gbc165"
"service-audio-luci-eventi-provincia-milano","Tecnici e Allestitori","provincia di Milano","https://www.vibesplanner.com/richiesta-cliente/?utm_source=organizzaevento&utm_medium=seo&utm_campaign=service-audio-luci_milano&utm_content=cta_landing#gbc165"
"trasporti-eventi-provincia-milano","Trasporti","provincia di Milano","https://www.vibesplanner.com/richiesta-cliente/?utm_source=organizzaevento&utm_medium=seo&utm_campaign=trasporti-eventi_milano&utm_content=cta_landing#gbc165"
"location-eventi-provincia-monza-e-brianza","Location","provincia di Monza e Brianza","https://www.vibesplanner.com/richiesta-cliente/?utm_source=organizzaevento&utm_medium=seo&utm_campaign=location-eventi_monza-e-brianza&utm_content=cta_landing#gbc165"
"catering-eventi-provincia-monza-e-brianza","Catering e Gastronomia","provincia di Monza e Brianza","https://www.vibesplanner.com/richiesta-cliente/?utm_source=organizzaevento&utm_medium=seo&utm_campaign=catering-eventi_monza-e-brianza&utm_content=cta_landing#gbc165"
"musica-eventi-provincia-monza-e-brianza","Musica","provincia di Monza e Brianza","https://www.vibesplanner.com/richiesta-cliente/?utm_source=organizzaevento&utm_medium=seo&utm_campaign=musica-eventi_monza-e-brianza&utm_content=cta_landing#gbc165"
